symbol,strategy,date_in,date_out,price_in,price_out,pnl,pnl_pct,reason,hold_days,lowest
BTC/USDT,Turtle Long,2024-09-26 00:00:00,2024-10-01 00:00:00,65173.99,62670.0,-61.35,-34.58,Channel Exit,5,
BTC/USDT,Turtle Long,2024-10-14 00:00:00,2024-12-05 00:00:00,66083.99,90791.1,1978.14,287.51,Channel Exit,52,
BTC/USDT,Turtle Long,2024-12-05 00:00:00,2024-12-20 00:00:00,96945.63,94256.54,-367.62,-53.94,Channel Exit,15,
BTC/USDT,Turtle Long,2025-01-17 00:00:00,2025-01-27 00:00:00,104077.48,99550.0,-81.66,-39.15,Channel Exit,10,
BTC/USDT,Turtle Long,2025-04-22 00:00:00,2025-05-30 00:00:00,93442.99,104184.72,542.28,67.03,Channel Exit,38,
BTC/USDT,Turtle Long,2025-07-02 00:00:00,2025-07-25 00:00:00,108849.6,115736.92,167.01,19.14,Channel Exit,23,
BTC/USDT,Turtle Long,2025-08-11 00:00:00,2025-08-18 00:00:00,118686.0,115878.71,-245.73,-35.85,Channel Exit,7,
BTC/USDT,Turtle Long,2025-09-15 00:00:00,2025-09-22 00:00:00,115349.71,114384.0,-57.14,-13.04,Channel Exit,7,
BTC/USDT,Turtle Long,2025-10-01 00:00:00,2025-10-10 00:00:00,118594.99,112656.27,-568.08,-65.34,Channel Exit,9,
ETH/USDT,OBV Short,2021-08-17 00:00:00,2021-08-20 00:00:00,3011.72,3245.0000000000005,-126.06,-17.51,Trailing Stop,3,2950.0
ETH/USDT,OBV Short,2022-04-06 00:00:00,2022-05-13 00:00:00,3168.51,1980.0000000000002,543.25,84.35,Trailing Stop,37,1800.0
ETH/USDT,OBV Short,2022-06-29 00:00:00,2022-07-04 00:00:00,1100.21,1097.8000000000002,4.05,0.42,Trailing Stop,5,998.0
ETH/USDT,OBV Short,2022-08-19 00:00:00,2022-08-25 00:00:00,1609.01,1676.0370000000003,-91.84,-9.45,Trailing Stop,6,1523.67
ETH/USDT,OBV Short,2023-03-04 00:00:00,2023-03-12 00:00:00,1566.73,1505.2290000000003,80.26,8.76,Trailing Stop,8,1368.39
ETH/USDT,OBV Short,2023-05-11 00:00:00,2023-06-20 00:00:00,1794.3,1788.611,6.16,0.64,Trailing Stop,40,1626.01
ETH/USDT,OBV Short,2023-08-02 00:00:00,2023-08-29 00:00:00,1839.9,1705.0000000000002,158.88,16.43,Trailing Stop,27,1550.0
ETH/USDT,OBV Short,2024-05-10 00:00:00,2024-05-20 00:00:00,2909.99,3259.1888,-287.65,-27.08,12% Stop Loss,10,2862.0
ETH/USDT,OBV Short,2024-08-27 00:00:00,2024-09-10 00:00:00,2457.33,2365.6050000000005,74.02,8.33,Trailing Stop,14,2150.55
ETH/USDT,OBV Short,2025-03-03 00:00:00,2025-03-05 00:00:00,2149.01,2192.5200000000004,-43.22,-4.63,Trailing Stop,2,1993.2
ETH/USDT,OBV Short,2025-06-05 00:00:00,2025-06-09 00:00:00,2414.01,2619.639,-174.5,-19.25,Trailing Stop,4,2381.49
ETH/USDT,OBV Short,2025-09-22 00:00:00,2025-09-29 00:00:00,4199.08,4196.5,0.51,0.06,Trailing Stop,7,3815.0
ETH/USDT,OBV Short,2025-10-30 00:00:00,2025-11-05 00:00:00,3805.09,3362.7000000000003,209.13,26.09,Trailing Stop,6,3057.0
SOL/USDT,OBV Short,2021-05-04 00:00:00,2021-05-08 00:00:00,42.636,45.562000000000005,-111.75,-15.52,Trailing Stop,4,41.42
SOL/USDT,OBV Short,2021-05-19 00:00:00,2021-05-20 00:00:00,34.988,39.18656,-176.76,-27.08,12% Stop Loss,1,32.0
SOL/USDT,OBV Short,2021-12-28 00:00:00,2022-01-12 00:00:00,177.32,143.0,237.56,43.49,Trailing Stop,15,130.0
SOL/USDT,OBV Short,2023-02-23 00:00:00,2023-03-10 00:00:00,23.91,17.6,408.48,59.32,Trailing Stop,15,16.0
SOL/USDT,OBV Short,2023-11-16 00:00:00,2023-11-19 00:00:00,57.8,59.510000000000005,-62.85,-6.73,Trailing Stop,3,54.1
SOL/USDT,OBV Short,2024-03-22 00:00:00,2024-03-25 00:00:00,175.21,187.418,-141.06,-15.76,Trailing Stop,3,170.38
SOL/USDT,OBV Short,2024-06-18 00:00:00,2024-06-25 00:00:00,137.41,134.20000000000002,41.99,5.18,Trailing Stop,7,122.0
SOL/USDT,OBV Short,2024-11-03 00:00:00,2024-11-06 00:00:00,162.53,182.0336,-226.15,-27.08,12% Stop Loss,3,155.11
SOL/USDT,OBV Short,2025-02-24 00:00:00,2025-02-28 00:00:00,141.81,138.10500000000002,40.58,5.81,Trailing Stop,4,125.55
SOL/USDT,OBV Short,2025-11-03 00:00:00,2025-11-05 00:00:00,166.06,160.435,54.58,7.55,Trailing Stop,2,145.85
BNB/USDT,OBV Short,2021-11-26 00:00:00,2021-12-04 00:00:00,587.3,538.12,135.16,18.77,Trailing Stop,8,489.2
BNB/USDT,OBV Short,2022-03-04 00:00:00,2022-03-18 00:00:00,374.2,395.45000000000005,-102.95,-12.86,Trailing Stop,14,359.5
BNB/USDT,OBV Short,2022-06-07 00:00:00,2022-06-15 00:00:00,290.3,218.24000000000004,412.12,55.79,Trailing Stop,8,198.4
BNB/USDT,OBV Short,2023-03-03 00:00:00,2023-03-13 00:00:00,290.4,291.5,-9.14,-0.93,Trailing Stop,10,265.0
BNB/USDT,OBV Short,2025-02-02 00:00:00,2025-02-03 00:00:00,617.8,550.0,241.25,24.63,Trailing Stop,1,500.0
BNB/USDT,OBV Short,2025-06-21 00:00:00,2025-07-03 00:00:00,628.97,661.375,-131.18,-11.67,Trailing Stop,12,601.25
BNB/USDT,OBV Short,2025-08-01 00:00:00,2025-08-10 00:00:00,757.08,803.0110000000001,-143.44,-13.73,Trailing Stop,9,730.01
BNB/USDT,OBV Short,2025-12-17 00:00:00,2026-01-05 00:00:00,843.07,900.229,-146.94,-15.33,Trailing Stop,19,818.39
BNB/USDT,OBV Short,2026-01-31 00:00:00,2026-02-06 00:00:00,781.38,627.066,385.89,44.37,Trailing Stop,6,570.06
DOGE/USDT,OBV Short,2021-08-08 00:00:00,2021-08-09 00:00:00,0.23996,0.25352800000000003,-92.17,-12.8,Trailing Stop,1,0.2305
DOGE/USDT,OBV Short,2023-05-24 00:00:00,2023-06-06 00:00:00,0.07064,0.06942100000000001,25.31,3.81,Trailing Stop,13,0.0631
DOGE/USDT,OBV Short,2025-08-25 00:00:00,2025-09-07 00:00:00,0.20965,0.22523600000000002,-114.17,-16.81,Trailing Stop,13,0.2048
DOGE/USDT,OBV Short,2025-10-30 00:00:00,2025-11-05 00:00:00,0.18268,0.166749,119.36,19.55,Trailing Stop,6,0.1516
DOGE/USDT,OBV Short,2025-11-17 00:00:00,2025-11-24 00:00:00,0.15214,0.146531,56.06,8.22,Trailing Stop,7,0.1332
DOGE/USDT,OBV Short,2026-02-16 00:00:00,2026-02-25 00:00:00,0.10102,0.098956,32.35,4.52,Trailing Stop,9,0.09
LINK/USDT,OBV Short,2020-09-02 00:00:00,2020-09-04 00:00:00,14.7982,11.908710000000001,315.89,43.87,Trailing Stop,2,10.8261
LINK/USDT,OBV Short,2020-10-28 00:00:00,2020-11-05 00:00:00,11.4403,10.725000000000001,127.27,14.0,Trailing Stop,8,9.75
LINK/USDT,OBV Short,2020-12-10 00:00:00,2020-12-13 00:00:00,11.9172,12.573,-122.76,-12.46,Trailing Stop,3,11.43
LINK/USDT,OBV Short,2021-01-21 00:00:00,2021-01-22 00:00:00,18.4119,20.621328000000002,-246.75,-27.08,12% Stop Loss,1,17.1269
LINK/USDT,OBV Short,2021-05-23 00:00:00,2021-05-24 00:00:00,19.844,22.225280000000005,-206.54,-27.08,12% Stop Loss,1,19.677
LINK/USDT,OBV Short,2021-09-17 00:00:00,2021-09-22 00:00:00,27.72,22.902,249.24,39.05,Trailing Stop,5,20.82
LINK/USDT,OBV Short,2022-02-02 00:00:00,2022-02-04 00:00:00,15.78,16.786,-113.6,-14.42,Trailing Stop,2,15.26
LINK/USDT,OBV Short,2022-03-04 00:00:00,2022-03-09 00:00:00,13.73,13.662,7.48,1.04,Trailing Stop,5,12.42
LINK/USDT,OBV Short,2023-02-25 00:00:00,2023-03-12 00:00:00,7.373,6.479,196.84,27.22,Trailing Stop,15,5.89
LINK/USDT,OBV Short,2024-03-05 00:00:00,2024-03-10 00:00:00,18.973,21.249760000000002,-227.78,-27.08,12% Stop Loss,5,18.389
LINK/USDT,OBV Short,2024-04-01 00:00:00,2024-04-12 00:00:00,18.358,14.704800000000002,314.77,44.71,Trailing Stop,11,13.368
LINK/USDT,OBV Short,2024-07-24 00:00:00,2024-08-05 00:00:00,13.4,8.888000000000002,675.73,75.71,Trailing Stop,12,8.08
LINK/USDT,OBV Short,2024-12-09 00:00:00,2024-12-11 00:00:00,22.25,22.297,-7.14,-0.55,Trailing Stop,2,20.27
LINK/USDT,OBV Short,2024-12-18 00:00:00,2024-12-20 00:00:00,24.86,22.022000000000002,331.18,25.62,Trailing Stop,2,20.02
LINK/USDT,OBV Short,2025-11-21 00:00:00,2025-11-24 00:00:00,12.11,12.914000000000001,-223.89,-15.02,Trailing Stop,3,11.74
LINK/USDT,OBV Short,2026-01-19 00:00:00,2026-01-31 00:00:00,12.88,9.867,712.83,52.58,Trailing Stop,12,8.97
LINK/USDT,OBV Short,2026-02-23 00:00:00,2026-02-25 00:00:00,8.26,9.2512,-482.88,-27.08,12% Stop Loss,2,8.05
BTC/USDT,Grid Buy,2020-01-02,2020-01-02,6965.71,6965.71,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-01-02,2020-01-02,6965.71,6965.71,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Sell,2020-01-03,2020-01-03,7028.03,7344.96,6.1702,4.5095,Grid Sell,1,
BTC/USDT,Grid Sell,2020-01-03,2020-01-03,7114.44,7344.96,4.394,3.2402,Grid Sell,1,
BTC/USDT,Grid Buy,2020-01-23,2020-01-23,8404.52,8404.52,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-01-23,2020-01-23,8404.52,8404.52,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-01-23,2020-01-23,8404.52,8404.52,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Sell,2020-01-26,2020-01-26,8421.53,8615.0,3.0746,2.2973,Grid Sell,1,
BTC/USDT,Grid Sell,2020-01-27,2020-01-27,8526.37,8907.57,6.1161,4.4709,Grid Sell,1,
BTC/USDT,Grid Sell,2020-01-27,2020-01-27,8631.2,8907.57,4.3406,3.202,Grid Sell,1,
BTC/USDT,Grid Buy,2020-02-04,2020-02-04,9197.02,9197.02,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Sell,2020-02-05,2020-02-05,9260.19,9612.04,5.1767,3.7996,Grid Sell,1,
BTC/USDT,Grid Buy,2020-02-13,2020-02-13,10229.63,10229.63,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-02-15,2020-02-15,9904.72,9904.72,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-02-15,2020-02-15,9904.72,9904.72,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-02-15,2020-02-15,9904.72,9904.72,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-02-17,2020-02-17,9706.0,9706.0,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-02-17,2020-02-17,9706.0,9706.0,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Sell,2020-02-18,2020-02-18,9733.61,10164.71,6.0575,4.429,Grid Sell,1,
BTC/USDT,Grid Sell,2020-02-18,2020-02-18,9851.83,10164.71,4.304,3.1759,Grid Sell,1,
BTC/USDT,Grid Sell,2020-02-18,2020-02-18,9970.05,10164.71,2.592,1.9524,Grid Sell,1,
BTC/USDT,Grid Buy,2020-02-19,2020-02-19,9593.79,9593.79,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-02-19,2020-02-19,9593.79,9593.79,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-02-19,2020-02-19,9593.79,9593.79,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Buy,2020-02-19,2020-02-19,9593.79,9593.79,-0.07,-0.05,Grid Buy,0,
BTC/USDT,Grid Sell,2020-02-23,2020-02-23,9615.39,9936.4,4.5316,3.3385,Grid Sell,1,
BTC/USDT,Grid Sell,2020-02-23,2020-02-23,9733.61,9936.4,2.7753,2.0834,Grid Sell,1,
BTC/USDT,Grid Buy,2020-02-24,2020-02-24,9656.13,9656.13,-0.07,-0.05,Grid Buy,0,
