symbol,strategy,date_in,date_out,price_in,price_out,pnl,pnl_pct,reason,hold_days,lowest
ETH/USDT,OBV Short,2023-08-02,2023-08-29,1839.9,1705.0000000000002,135.13,16.43,Trailing Stop,27,1550.0
BTC/USDT,Turtle Long,2023-10-16,2023-12-29,28500.78,41637.6,1670.89,302.08,Channel Exit,74,
BTC/USDT,Turtle Long,2024-01-02,2024-01-03,44946.91,41300.0,-139.22,-73.02,Channel Exit,1,
BTC/USDT,Turtle Long,2024-01-08,2024-01-18,46951.04,41500.0,-182.38,-104.49,Channel Exit,10,
BTC/USDT,Turtle Long,2024-02-07,2024-03-17,44349.6,64780.0,2276.72,361.08,Channel Exit,39,
LINK/USDT,OBV Short,2024-03-05,2024-03-10,18.973,21.249760000000002,-239.29,-27.08,12% Stop Loss,5,18.389
LINK/USDT,OBV Short,2024-04-01,2024-04-12,18.358,14.704800000000002,330.68,44.71,Trailing Stop,11,13.368
BTC/USDT,Turtle Long,2024-04-08,2024-04-13,71620.0,64493.07,-199.94,-89.56,Channel Exit,5,
SOL/USDT,OBV Short,2024-04-26,2024-05-01,139.23,130.317,108.03,14.33,Trailing Stop,5,118.47
LINK/USDT,OBV Short,2024-04-28,2024-05-02,13.809,13.585,33.53,3.58,Trailing Stop,4,12.35
ETH/USDT,OBV Short,2024-05-10,2024-05-20,2909.99,3259.1888,-244.66,-27.08,12% Stop Loss,10,2862.0
BTC/USDT,Turtle Long,2024-05-15,2024-06-11,66206.5,67257.47,-80.78,-19.45,Channel Exit,27,
BTC/USDT,Turtle Long,2024-07-15,2024-08-01,64724.14,63456.7,-245.82,-41.1,Channel Exit,17,
LINK/USDT,OBV Short,2024-07-24,2024-08-05,13.4,8.888000000000002,724.8,75.71,Trailing Stop,12,8.08
BTC/USDT,Turtle Long,2024-08-23,2024-08-27,64037.24,58548.23,-143.92,-77.14,Channel Exit,4,
BTC/USDT,Turtle Long,2024-09-26,2024-10-01,65173.99,62670.0,-60.45,-34.58,Channel Exit,5,
BTC/USDT,Turtle Long,2024-10-14,2024-12-05,66083.99,90791.1,1949.11,287.51,Channel Exit,52,
LINK/USDT,OBV Short,2024-11-01,2024-11-06,11.25,11.077000000000002,47.13,3.39,Trailing Stop,5,10.07
BTC/USDT,Turtle Long,2024-12-05,2024-12-20,96945.63,94256.54,-362.12,-53.94,Channel Exit,15,
DOGE/USDT,OBV Short,2024-12-09,2024-12-11,0.41403,0.401907,45.57,6.52,Trailing Stop,2,0.3654
LINK/USDT,OBV Short,2024-12-09,2024-12-11,22.25,22.297,-7.81,-0.55,Trailing Stop,2,20.27
ETH/USDT,OBV Short,2024-12-10,2024-12-15,3628.25,3918.5740000000005,-136.74,-18.08,Trailing Stop,5,3562.34
LINK/USDT,OBV Short,2024-12-18,2024-12-20,24.86,22.022000000000002,362.28,25.62,Trailing Stop,2,20.02
BTC/USDT,Turtle Long,2025-01-17,2025-01-27,104077.48,99550.0,-80.46,-39.15,Channel Exit,10,
BNB/USDT,OBV Short,2025-01-28,2025-02-03,661.29,550.0,451.6,37.8,Trailing Stop,6,500.0
SOL/USDT,OBV Short,2025-02-24,2025-02-28,141.81,138.10500000000002,47.5,5.81,Trailing Stop,4,125.55
ETH/USDT,OBV Short,2025-03-03,2025-03-05,2149.01,2192.5200000000004,-31.21,-4.63,Trailing Stop,2,1993.2
LINK/USDT,OBV Short,2025-03-09,2025-03-11,13.81,13.035,204.77,12.56,Trailing Stop,2,11.85
BTC/USDT,Turtle Long,2025-04-22,2025-05-30,93442.99,104184.72,534.34,67.03,Channel Exit,38,
BTC/USDT,Turtle Long,2025-07-02,2025-07-25,108849.6,115736.92,164.54,19.14,Channel Exit,23,
BNB/USDT,OBV Short,2025-08-01,2025-08-10,757.08,803.0110000000001,-201.15,-13.73,Trailing Stop,9,730.01
BTC/USDT,Turtle Long,2025-08-11,2025-08-18,118686.0,115878.71,-242.06,-35.85,Channel Exit,7,
BTC/USDT,Turtle Long,2025-09-15,2025-09-22,115349.71,114384.0,-56.29,-13.04,Channel Exit,7,
BTC/USDT,Turtle Long,2025-10-01,2025-10-10,118594.99,112656.27,-559.68,-65.34,Channel Exit,9,
LINK/USDT,OBV Short,2025-10-10,2025-10-12,17.31,19.3872,-474.77,-27.08,12% Stop Loss,2,16.6
DOGE/USDT,OBV Short,2025-10-30,2025-11-05,0.18268,0.166749,142.04,19.55,Trailing Stop,6,0.1516
ETH/USDT,OBV Short,2025-10-30,2025-11-05,3805.09,3362.7000000000003,170.83,26.09,Trailing Stop,6,3057.0
LINK/USDT,OBV Short,2025-11-21,2025-11-24,12.11,12.914000000000001,-220.36,-15.02,Trailing Stop,3,11.74
BNB/USDT,OBV Short,2025-12-01,2025-12-03,826.61,902.5060000000001,-278.68,-20.74,Trailing Stop,2,820.46
BNB/USDT,OBV Short,2025-12-17,2026-01-05,843.07,900.229,-180.32,-15.33,Trailing Stop,19,818.39
SOL/USDT,OBV Short,2026-01-20,2026-02-06,125.8,74.25,779.9,92.16,Trailing Stop,17,67.5
